gene_name	DDdenovo_syn	DDdenovo_mis	DDdenovo_stopgain	gnomAD_syn	gnomAD_mis	gnomAD_stopgain
OST4	0	0	0	5	7	0
OR4M2-OT1	0	0	0	0	0	0
GLIPR1L2	1	0	0	17	75	5
DLL4	0	0	1	73	124	0
TNNI3	0	1	0	30	33	4
LRRC63	0	1	0	34	98	5
P2RX3	0	1	0	36	78	2
TALDO1	1	2	0	35	101	1
FOXN3	0	4	0	54	92	0
PDLIM4	0	1	1	31	74	0
MEIOB	0	0	0	32	90	4
TCTA	0	0	0	11	16	3
SPATA31C1	0	0	0	75	131	2
FLT3	0	4	0	85	172	1
UBE2V1	0	1	0	13	23	0
BNIPL	0	1	0	33	71	3
DCD	0	0	0	8	24	0
MFGE8	1	0	0	54	108	3
PLSCR5	2	0	0	28	51	2
TMEM170B	0	0	0	9	23	0
ATPAF1	0	0	0	31	58	1
HOXC4	1	0	0	21	51	1
ZNHIT2	0	1	0	74	106	5
TRIM28	1	1	0	119	129	1
MSI1	0	5	0	52	48	0
RPP14	0	0	0	13	18	0
VCAM1	2	3	0	61	119	2
CCDC77	0	1	0	28	122	13
DNM1	1	19	0	80	78	2
ZBTB47	1	8	0	102	142	0
CCDC12	0	0	0	24	31	2
METTL14	0	1	0	31	50	2
TRPC7	0	5	0	88	133	5
ZNF544	1	0	1	53	159	13
NRAP	3	1	0	170	429	16
HARS1	0	1	0	36	87	4
HEG1	0	4	0	153	292	5
RASL11B	0	1	0	30	45	2
COL15A1	1	7	0	168	347	3
ENSG00000269026	1	0	0	10	26	0
MOBP	0	0	1	21	45	2
EIF2B2	0	1	0	35	48	2
PEX12	0	0	0	20	59	2
DEPDC4	0	1	0	30	89	8
ENSG00000283321	0	1	0	61	136	1
THUMPD1	0	1	1	27	61	3
FAHD2A	0	0	0	31	35	4
ZFYVE26	2	6	1	214	518	14
SLC16A13	0	0	0	39	75	4
C4B	0	0	0	0	0	0
KDM1B	2	1	0	64	128	5
HMGB2	0	1	0	12	21	0
TBC1D3	0	0	0	0	0	0
DNAJB5	0	1	1	28	43	1
TBC1D21	1	1	0	29	87	2
ARL4A	0	0	0	3	13	1
EID2B	0	0	0	21	29	2
PASK	2	1	0	163	293	13
PMS1	0	2	0	70	152	8
SCN2B	0	0	0	21	61	0
MTNR1A	1	0	0	56	86	4
TNFRSF4	0	1	0	43	80	1
PCDHB6	0	0	0	107	175	2
PHF20	0	0	1	80	151	2
KLHL28	0	2	0	43	79	1
HNRNPL	1	2	0	88	69	0
WBP1L	1	2	0	31	59	3
MTMR2	0	2	0	41	99	7
TTC31	0	2	0	32	119	6
RIOK2	1	1	0	37	98	5
ZNF112	1	1	0	59	151	0
MSRB1	0	0	0	0	0	0
USP49	0	2	0	72	113	5
ATP9A	3	2	0	131	155	1
DCLK3	0	3	0	75	163	4
TMEM121B	1	1	0	88	121	2
DUS4L-BCAP29	1	2	0	33	104	4
CISH	1	1	0	29	58	3
TRPC3	1	2	0	81	109	5
ZNF610	0	0	0	33	96	4
PTPRO	0	2	0	101	204	3
DUOXA2	0	2	0	36	76	0
EVI2B	1	1	0	26	75	2
RBM15	2	1	0	94	154	1
TMEM151A	0	1	0	67	103	0
CLEC14A	1	0	0	69	94	2
PTGER3	0	0	0	35	59	2
EPO	0	0	0	23	39	0
SPCS2	0	0	0	6	18	1
FER1L6	0	5	0	174	362	20
AIF1	0	0	0	0	0	0
DAOA	0	2	0	17	45	3
RAP1GAP	3	0	0	87	113	2
FOXI2	1	1	0	34	94	2
CCR7	1	3	0	42	58	0
SMC1B	2	3	1	97	174	6
EBNA1BP2	0	1	0	18	51	4
TMEM158	0	2	0	41	47	1
PPP2R2B	0	4	0	45	51	0
TNFRSF17	0	0	0	17	50	1
OR2M5	0	1	0	32	96	4
PLCD3	0	0	0	92	188	3
CYTH1	0	2	0	35	60	0
UCKL1	0	2	1	77	122	1
MTMR9	0	2	1	62	146	3
OR8K5	0	2	0	20	70	5
PRPF4B	0	0	0	77	109	1
H4C7	0	1	0	16	23	1
C9orf43	0	0	0	42	95	3
SPINK5	2	1	0	70	186	14
CCL16	0	0	0	0	0	0
PUS7	0	1	0	49	101	5
RCSD1	0	2	0	42	104	3
TAAR2	1	0	0	26	71	6
CEP170B	1	6	0	274	453	1
AVP	0	0	0	15	45	1
TCF20	1	9	9	0	0	0
CYB5R2	0	1	0	39	72	2
ANKRD50	1	3	0	117	224	2
EXOSC10	0	1	0	81	179	6
NOMO2	0	0	0	6	6	0
NLRP12	2	1	0	124	261	12
SNX2	0	1	0	47	72	1
CADM1	2	3	0	67	68	1
TMPO	0	0	0	44	57	1
TSPAN18	0	1	0	34	53	2
ACAT2	0	1	0	20	62	2
MAP2	1	4	0	119	318	1
COPS8	0	2	0	17	27	0
ING4	0	2	0	19	24	1
VSTM2A	0	1	0	20	49	0
MAPK12	2	1	0	62	93	3
CCNE2	0	2	0	23	55	2
EFNA4	1	0	0	26	38	0
HTR7	1	0	0	32	68	2
UGT2A3	1	0	0	0	0	0
SLK	1	2	0	51	177	2
FLCN	2	2	0	62	137	1
CCDC194	0	0	0	25	52	2
ENSG00000285635	0	0	0	0	0	0
GYS1	4	3	0	82	153	3
ACVR2A	0	1	0	38	31	0
NCAPD3	1	7	0	166	340	6
VIPR2	0	0	0	63	100	5
SP2	2	1	0	73	105	0
KCNK9	0	4	0	43	39	1
IL11	0	1	0	28	59	1
ANAPC10	0	1	0	11	28	1
ZNF699	0	0	1	40	99	9
ANO5	2	4	0	67	168	10
VTA1	1	0	0	22	66	1
CNN3	0	0	0	21	37	1
RUSF1	0	2	0	57	130	5
UBE2QL1	0	0	0	10	9	0
INSIG2	0	0	0	22	29	1
OR5L1	0	0	0	43	70	2
SNORC	0	0	0	11	26	0
PRKCI	0	1	0	49	67	2
SLC22A17	1	0	0	78	120	0
EFNA3	1	0	0	15	43	0
ENPP6	0	0	0	65	117	3
TFAM	0	1	0	16	30	0
ENSG00000273025	0	0	0	49	87	0
CPT2	0	0	0	68	145	3
TCAIM	2	2	0	24	64	2
RAP2B	0	0	1	23	10	1
CC2D2A	1	3	0	126	315	13
MMP25	0	1	0	88	167	8
SPIB	1	2	0	44	49	0
JPT1	0	0	0	11	28	0
TEPSIN	1	1	0	98	168	4
STAMBP	1	1	0	29	74	4
ATOH8	1	0	0	41	81	0
PLEKHG4B	1	3	0	234	457	15
STARD5	0	0	0	15	46	1
XBP1	0	0	0	32	68	2
WNT7A	0	2	0	48	74	0
OBP2A	0	0	0	19	53	2
OXER1	0	2	0	46	118	2
PER2	2	4	0	160	240	6
PRICKLE2	0	1	1	85	132	0
ARHGAP19	0	2	1	40	106	3
TP53TG3D	0	0	0	0	0	0
RPL18A	0	1	0	26	36	0
EMSY	0	1	0	89	186	1
CEP295NL	1	0	0	65	153	10
TMF1	2	1	0	80	175	4
LRIT3	1	3	0	55	130	5
ZCCHC7	1	2	0	42	92	8
ZSCAN30	0	0	0	22	86	5
ZNF732	0	1	0	44	113	5
FADS1	0	0	0	28	47	3
SYNE1	10	20	1	693	1648	36
CCL4L2	0	0	0	0	0	0
DHPS	0	2	0	61	92	1
PRTN3	1	2	0	0	0	0
CEP97	2	0	0	62	152	8
SLCO1B3	1	0	0	65	168	6
ADH6	0	0	0	25	72	1
PCDHB11	0	0	0	114	200	5
TPST1	0	0	0	26	59	4
ZNF655	0	0	0	32	97	1
RPAIN	1	1	0	19	48	4
CYP26C1	1	4	0	71	129	4
MEA1	0	1	0	14	37	4
BTRC	0	3	0	38	77	1
OR4D10	1	0	0	31	63	2
CDPF1	0	0	0	11	25	3
PARPBP	1	1	0	48	111	9
NOD2	2	2	0	129	277	6
SCGB1D4	0	0	0	6	18	0
PAFAH1B2	0	0	0	21	31	0
NUP50	0	1	0	36	70	0
ATP23	1	0	0	0	0	0
HLA-DMA	0	0	0	0	0	0
EVA1A	0	0	0	18	38	3
LECT2	0	2	0	15	25	1
ZNF560	1	2	0	55	147	9
BAG2	0	0	0	13	21	0
ANXA8L1	0	0	0	3	3	0
TUBB8	0	0	0	61	61	6
TEX45	0	2	0	54	136	1
ADAM7	2	2	0	65	165	7
MCAT	1	0	0	47	104	3
ABHD15	1	1	0	51	128	6
ENSG00000266086	0	4	2	17	10	0
DHFR	0	0	0	11	18	1
ZNF549	0	0	0	44	110	10
MCM5	0	4	0	82	176	1
STAG3	0	2	0	91	199	9
ACAD11	2	1	0	57	144	8
LATS2	2	0	0	135	215	0
IWS1	1	1	0	52	112	1
SNAP29	0	2	0	18	49	2
TNK2	2	6	0	206	373	7
NEFH	2	1	0	124	229	5
FMC1	0	0	0	9	24	0
PAFAH1B3	0	0	0	20	47	3
NVL	0	1	1	49	132	13
C1orf146	0	0	0	9	34	4
DOK1	0	0	0	41	83	2
SLC9A4	0	1	0	73	187	8
C3orf18	0	0	0	14	32	1
OR1S1	0	0	0	32	93	2
GIT2	0	0	0	84	105	1
TYW5	0	0	0	18	42	6
NOX5	1	2	0	66	166	6
BLM	0	4	0	108	227	8
N4BP2	1	2	1	122	285	6
ENSG00000260914	2	4	1	66	63	2
BCAR1	0	4	0	153	279	1
TMEM131L	2	3	0	127	316	3
ATP10D	1	3	1	108	286	15
MEI4	0	0	0	29	84	4
CXCL1	0	1	0	19	28	0
ENSG00000284934	0	0	0	3	6	0
HCLS1	0	1	0	52	107	4
NMNAT2	0	0	0	26	38	0
TNFRSF18	1	1	0	50	84	4
SSTR2	0	0	0	36	67	0
AIRE	0	2	0	86	164	3
ZNF296	2	2	0	54	110	1
TRIM67	0	3	0	104	147	2
AGRP	0	1	0	19	34	1
RAB6D	0	0	0	2	8	0
KLRF1	0	0	0	19	39	2
HHIPL2	1	1	0	44	157	10
NLRP4	0	2	0	137	197	3
CRNKL1	0	2	0	43	108	5
OR8G5	0	5	0	29	57	2
GAD1	0	0	0	49	72	0
SLC25A3	0	0	0	33	64	0
OR51T1	0	1	0	34	80	3
DYNLL1	0	0	0	7	1	0
COBL	0	0	1	138	307	3
SOWAHA	0	0	0	68	124	2
ABCA9	1	4	0	119	292	17
TBX21	1	1	0	70	94	0
ZIM2	1	0	0	55	118	5
USP17L13	0	0	0	0	0	0
AATK	2	4	0	247	410	3
NUPR1	0	0	0	6	24	2
APOBEC3C	0	1	0	21	59	2
ERAP1	1	5	0	97	166	8
AP2M1	0	2	0	39	23	0
SVBP	0	0	0	3	8	0
ZNF649	0	1	0	39	80	5
TPCN1	1	2	0	102	145	5
MSANTD3-TMEFF1	1	0	0	26	61	0
PHYHIPL	0	0	0	31	50	1
E2F4	0	1	0	44	63	2
CIRBP	1	3	0	37	77	1
UGT3A1	0	1	0	45	95	2
RDH11	1	0	0	29	60	3
RALGPS2	1	2	0	48	80	2
LRIG2	1	2	0	96	204	7
KRTAP12-3	0	0	0	12	21	1
PTK2B	3	0	1	111	206	1
SLC45A2	0	2	0	33	54	2
CEP290	1	5	2	146	422	33
MAGI3	0	1	0	90	239	5
VAV2	3	1	0	117	167	4
ZNF714	0	0	0	38	108	6
USP17L21	0	0	0	0	0	0
ANKRD31	1	1	0	130	313	15
RNPC3	0	0	0	45	98	5
UGT1A3	0	1	0	67	161	6
CARD9	0	4	0	94	167	3
UBR1	1	5	0	131	241	5
ABCC11	0	5	0	151	303	12
PTPRK	0	3	0	0	0	0
KANSL1	0	8	7	0	0	0
DLEC1	1	3	0	180	384	18
TNR	0	1	0	158	281	5
CABP1	0	0	0	32	63	0
RHOH	0	0	0	22	25	1
PATE3	0	1	0	7	20	1
NEURL2	0	1	0	24	55	2
MX1	1	0	0	63	142	4
LGALS1	0	0	0	15	30	1
LENG1	0	1	0	0	0	0
LMNTD1	0	1	0	32	73	5
ME1	0	2	0	48	112	3
PRDM14	1	0	0	52	72	3
ATP8A2	2	0	0	82	146	3
C10orf105	0	1	0	25	41	2
LSM12	0	0	0	17	18	0
C3	1	5	0	186	267	0
GHITM	0	0	0	24	62	1
MAK16	1	0	0	22	52	1
RBM15B	1	2	0	105	164	0
SIDT1	0	1	0	96	189	5
CCDC63	0	1	0	49	127	10
BHLHE22	0	1	0	59	90	0
RHOC	0	0	0	21	20	1
CPA5	0	3	0	50	104	1
FGL1	0	0	0	43	116	14
NEK3	0	0	0	37	102	3
TJP1	0	5	0	1	3	0
IQANK1	0	0	0	0	0	0
THRB	0	1	1	51	45	0
ZNF135	0	0	0	65	146	9
PRG3	0	5	0	15	48	1
GOLGA8O	0	0	0	0	2	0
AQP4	0	1	0	28	69	2
CROCC	1	2	2	280	615	16
SLC44A2	0	1	0	57	136	4
C5orf46	1	1	0	12	12	0
DEFB116	0	0	0	11	30	0
POLA2	0	1	0	59	106	5
CFAP210	0	2	1	34	116	10
POU4F1	0	1	0	56	81	0
HRAS	0	7	0	0	0	0
C6orf15	0	0	0	0	0	0
MTRFR	0	0	0	12	31	3
PEX16	1	0	0	44	64	2
CLOCK	2	1	0	46	103	1
FBLL1	0	0	0	42	76	2
CNGA1	0	0	0	57	110	10
BCL7B	0	0	0	28	28	0
ANO2	0	3	0	98	249	13
USP47	1	3	0	88	193	1
OCA2	2	2	0	12	26	0
ZNF473	0	1	0	82	171	1
TRIM48	0	0	0	29	80	3
FAM53A	1	0	0	69	146	4
DNAJC4	0	1	0	16	55	2
DHX57	1	3	0	100	287	10
CAPG	0	1	0	29	69	2
ATRN	1	7	0	133	230	2
CSRP1	0	0	0	20	32	1
THADA	2	4	0	172	488	16
DMBT1	2	3	0	241	482	21
KIF22	2	2	0	55	146	3
BMP2	0	2	0	41	65	0
TGFBR2	0	0	0	52	65	1
DNAJC25	0	0	0	27	56	0
STUM	2	1	0	14	22	0
GSX1	0	0	0	37	53	0
MRTFB	0	3	0	125	190	2
ZNF700	0	1	1	57	162	9
OR4E1	0	0	0	28	79	3
SERP2	0	1	0	5	5	0
ERCC1	0	0	0	38	61	1
SPRR5	0	0	0	4	11	1
ZNG1F	0	0	0	6	22	0
KCTD7	0	0	0	35	55	1
ANKS4B	0	0	0	35	69	5
DNAJC28	0	0	0	0	0	0
CCDC157	0	0	0	87	198	6
SWAP70	0	3	0	39	87	2
FGF17	0	2	0	31	29	1
FAU	0	1	0	7	12	0
SMIM38	0	0	0	9	15	0
LRRC72	0	1	0	25	62	3
ABCD4	0	1	0	67	149	2
IL5	0	0	0	8	20	1
PPA2	0	3	0	21	79	5
CCDC146	1	2	2	65	172	13
MLXIP	2	1	0	106	183	1
CNN2	0	4	0	46	70	3
SMPDL3B	1	1	0	47	119	6
TMEM275	0	0	0	28	44	1
AGR3	0	1	0	15	33	2
ATP6V1E1	0	1	0	17	32	1
C2orf81	0	0	0	58	132	5
CACNA1C	2	18	3	234	258	1
GDPD5	1	1	0	87	129	2
HSPA6	0	0	0	42	100	4
SCN10A	1	7	0	200	465	25
LATS1	0	4	0	76	157	1
ZCCHC10	0	0	0	12	25	1
SAMD11	0	3	1	179	313	10
HIP1	2	2	0	99	183	0
RHPN1	2	4	0	88	175	5
RPL28	0	0	0	21	37	0
CERK	1	4	0	80	123	3
VPS16	0	2	0	75	180	4
CYB5D2	1	0	0	34	68	2
DYNLT5	0	0	0	13	28	1
ZDHHC16	1	2	0	35	73	6
KCTD3	0	2	0	60	99	2
ARSI	0	0	0	79	143	11
EPYC	0	0	0	21	72	4
ANKRD13A	0	2	0	55	96	6
ZNF219	0	3	0	96	134	1
CBLN2	0	0	0	38	34	1
TEX43	0	0	0	10	31	0
CCDC153	0	0	0	19	52	6
TMEM138	0	0	0	14	26	1
HEPACAM	0	2	0	41	86	1
KRTAP29-1	0	1	0	0	0	0
ENSG00000256029	0	0	0	9	16	1
PHB1	0	3	0	27	30	1
C9orf72	0	2	1	36	72	2
RBPMS	0	0	0	20	28	1
ATP8A1	1	5	0	87	178	5
SNAI2	0	0	0	16	32	0
ZNF485	0	1	0	22	76	6
KIF23	0	1	0	60	158	1
SNPH	4	3	0	76	126	0
FAM136A	0	0	0	19	73	0
IQCA1	2	2	1	64	165	4
ZNF572	1	1	0	36	99	5
IRF5	1	0	0	35	79	5
ZNF17	0	0	0	44	115	7
COL9A1	2	3	0	81	198	7
SNRNP35	0	2	0	30	50	7
ODF3L2	0	0	0	44	95	3
MACC1	0	3	0	53	187	13
HSF1	0	0	0	84	107	0
LONRF1	1	2	0	80	147	1
TIGD7	0	3	0	39	109	9
KIAA1549L	2	11	0	237	432	4
MSANTD4	0	0	0	28	47	1
TMCO6	0	4	0	41	101	7
TM7SF3	0	1	0	55	85	4
ALOXE3	1	1	0	59	166	2
GDF1	0	0	0	58	86	7
PAQR9	0	0	0	42	53	0
PIANP	0	1	0	36	51	3
VAMP5	1	0	0	12	26	0
ZBTB17	1	0	0	85	120	1
NUP35	0	1	0	21	60	2
TIGD6	1	0	0	26	115	4
AGMAT	1	0	0	49	89	4
AFAP1L1	1	1	0	70	157	9
SNX32	1	0	0	56	111	7
COCH	1	0	1	36	89	1
KBTBD6	1	3	1	52	78	1
DES	2	4	0	44	85	6
ROR2	1	2	0	139	246	1
MTG1	0	0	0	55	102	2
NMUR2	0	0	0	35	75	4
UNK	3	3	0	104	106	0
ADAT2	0	0	0	20	46	4
IARS1	1	1	0	95	220	8
CAMK2G	0	9	0	57	67	1
SERINC3	0	0	0	44	101	3
MMP24	2	3	1	63	130	1
IDH2	0	4	0	54	89	3
FSTL5	0	1	0	59	160	2
SLC9B1	0	0	0	25	68	4
ZFC3H1	1	4	0	140	268	4
PPP4R3A	1	1	0	63	61	0
PDHA2	0	0	0	30	96	5
CGB8	0	0	0	0	2	0
SNRNP25	1	0	0	16	35	2
RESP18	0	0	0	20	56	4
H3C13	0	0	0	14	21	0
ADAM22	2	2	0	71	142	4
NBL1	0	0	0	25	22	3
ENSG00000273167	2	4	0	114	259	5
CDIPT	0	0	0	14	34	1
TMED7	0	1	0	22	34	1
SETD1A	2	7	2	234	361	0
IGF2BP1	0	2	1	59	64	0
MRPS11	0	1	0	21	59	2
ACSM1	0	1	0	53	122	18
MYH9	4	6	1	241	312	1
ITPA	0	1	0	25	42	0
DOK4	0	2	0	37	70	0
LRRC55	1	3	0	39	67	2
OVCH1	1	5	0	84	208	13
WFDC10B	0	0	0	5	18	2
FPR3	0	3	0	28	59	2
GPR21	0	0	0	29	63	2
OTX2	1	2	1	30	42	0
RUFY1	0	0	0	83	146	6
MPND	0	0	1	87	135	2
ACOT4	0	0	0	33	107	8
LDLRAD2	0	0	0	28	65	0
ARMC9	0	1	0	84	182	6
CXCL14	0	0	0	10	16	0
ANGPTL5	1	2	0	28	49	1
SLC8A3	0	3	0	87	179	2
FBXO40	0	0	0	47	159	7
RING1	0	2	0	0	0	0
ALDH3A2	0	0	0	43	85	1
FXYD1	0	0	0	10	12	0
SLC11A1	1	0	0	72	145	6
FAM110B	0	1	0	32	60	0
NDUFA4	0	0	0	5	17	1
RUFY2	0	2	0	39	74	1
GAMT	0	0	0	40	79	3
RGS3	3	3	0	133	234	4
PLA2G12B	0	0	0	19	37	3
TMPRSS11D	0	1	0	31	80	4
OVGP1	0	1	0	61	159	4
DNAI2	0	2	0	83	152	4
KRTDAP	1	0	0	10	19	1
TPBGL	0	1	1	74	90	0
ZNF746	0	2	0	96	134	1
OR56B1	0	0	0	18	65	2
C1QTNF9	0	0	0	27	36	2
MTHFD1L	1	1	0	94	205	4
FCHSD1	1	0	0	56	172	5
PLCZ1	0	0	0	38	104	5
KCNK13	0	0	0	45	94	0
DTD1	1	1	0	21	35	0
NDUFC2-KCTD14	0	1	0	13	32	0
SRGAP2B	0	0	0	0	0	0
MAFF	0	1	0	19	24	0
ACSM2A	0	0	0	39	99	11
HIRA	3	1	1	112	132	0
USP10	0	1	0	100	197	0
CFAP126	0	0	0	8	36	3
INHBE	0	1	0	29	64	5
GNPTG	0	0	0	50	101	2
ENSG00000267699	0	0	0	4	11	0
CHRM5	1	1	0	38	95	0
GPAT2	0	1	0	46	86	3
ARID3B	1	1	0	25	88	0
SLC5A8	0	1	0	0	0	0
SORD	0	0	0	25	61	2
EGF	2	3	0	99	207	12
CTSF	1	1	0	37	113	6
SLC2A4	1	1	0	48	102	0
ACY3	0	1	0	37	87	2
EML1	1	1	0	80	113	1
OR4F15	0	1	0	30	63	1
CCL27	0	0	0	12	24	3
C1orf52	0	1	0	16	44	0
JMJD1C	3	4	1	174	402	1
TM4SF19-DYNLT2B	0	0	0	19	45	2
SUSD3	0	0	0	31	63	1
KMT2E	1	7	1	129	291	1
FAM114A1	0	1	0	58	111	5
ZNF705A	0	0	0	15	36	2
RIPK3	1	1	0	45	106	6
TCN2	1	2	0	54	114	7
GADD45B	0	0	0	25	17	0
DMWD	1	2	0	115	123	1
DEFB118	1	0	0	14	33	0
H1-3	1	4	0	54	136	3
MTO1	0	2	0	58	145	6
PLEC	15	23	1	1064	1761	19
TMEM39A	0	0	0	39	62	2
RMDN2	0	2	0	33	97	6
POLH	0	1	0	60	122	4
NDOR1	1	2	0	94	171	4
SLC25A38	2	2	0	28	67	4
DPH7	1	1	0	51	90	3
RBM17	0	0	0	33	36	0
ZNF32	0	0	0	20	38	3
VENTX	0	0	0	36	69	2
POTEG	0	0	0	1	4	0
CIROP	0	0	0	87	156	9
MARF1	1	3	1	0	0	0
GARIN4	0	1	0	66	143	11
TXNDC9	0	0	0	11	26	0
TM4SF1	0	0	0	28	44	2
PRIMA1	0	0	0	0	0	0
TYMS	1	0	0	30	50	1
TTLL9	0	0	0	40	114	6
TEC	1	2	1	54	80	3
CCDC148	0	1	0	43	110	4
INSRR	3	4	0	135	322	7
PLEKHG3	3	4	0	122	307	10
EZH1	0	2	0	45	56	1
POPDC2	1	1	0	27	72	6
ZNG1A	0	0	0	8	26	0
NEUROD6	0	1	0	27	51	0
AGER	0	1	0	0	0	0
ALS2CL	0	0	0	116	230	8
MDH1B	0	0	0	32	98	4
NUTM2E	0	0	0	0	0	0
CEP43	1	0	0	32	89	2
ACADSB	1	3	0	41	84	5
RTBDN	0	0	0	19	55	2
TAF5L	0	0	0	75	109	1
IPO4	1	4	0	115	235	4
GPR162	0	3	0	90	150	2
ZEB2	0	5	9	96	123	0
ARHGAP39	1	3	0	172	241	2
GOLGA1	1	0	0	74	135	2
CEP112	0	2	0	68	176	12
TEX46	0	0	0	10	24	1
DNAH8	2	7	0	348	904	31
CRACR2B	0	3	0	51	136	6
NTN1	0	3	0	62	102	0
RASL10B	0	0	0	24	46	1
SLC10A5	0	0	0	36	88	1
PTDSS1	0	3	0	32	52	2
NCOA1	1	1	0	124	221	3
GNAT1	2	1	0	35	59	4
ARRDC4	0	1	0	42	97	2
KRT6A	0	0	0	61	127	1
RASA4B	0	0	0	0	2	0
OR5M9	0	3	0	26	91	1
LAMTOR4	0	0	0	15	20	1
CST4	0	0	0	24	56	2
SMIM42	0	0	0	6	7	0
TMEM225B	0	0	0	16	50	2
ITLN1	0	1	0	45	82	3
ATP1B1	0	0	1	27	29	0
ZNF595	1	0	0	44	134	6
ADGRF5	0	1	0	129	258	5
PIK3AP1	1	2	0	79	121	0
TMEM161B	0	1	0	43	77	2
WNK4	1	4	0	107	272	7
SRPK2	2	0	0	50	98	1
CCDC25	0	1	0	10	31	0
COPB2	1	2	1	54	113	0
ITGA4	1	2	0	92	150	2
ENPEP	0	1	0	81	210	16
PLCH1	0	1	0	124	256	7
ARL9	0	0	0	15	56	2
FHL5	1	0	0	24	62	4
CALHM5	0	1	0	27	55	3
LIMD2	0	0	0	7	23	1
RPF1	0	0	0	23	82	2
NAAA	2	0	0	35	89	1
IL7R	0	2	0	36	108	4
LRRD1	1	2	0	58	126	6
ZPBP	0	0	0	33	69	5
TMEM123	0	0	0	28	49	2
SNAI1	0	0	0	31	45	0
SIGLEC12	0	2	1	76	167	5
CCNA1	0	2	0	36	69	1
LBHD2	0	0	0	14	33	3
FANCA	2	5	0	224	493	15
GJC2	0	1	0	57	96	6
KLRD1	0	0	0	15	26	1
TBC1D14	0	2	0	87	134	2
NEUROD4	1	1	0	29	61	2
CTAGE8	0	0	0	0	0	0
CCDC92	0	0	0	0	0	0
ZNF607	0	0	0	43	132	6
H1-7	1	0	0	26	68	2
CST1	0	0	0	24	59	3
PPOX	1	1	0	35	70	4
B4GALT5	0	0	0	27	47	1
ARL5A	0	0	0	10	27	0
MLNR	0	0	0	43	92	4
KNG1	1	0	0	55	118	5
WFDC8	0	0	0	19	53	1
COL27A1	2	10	2	238	467	2
PRR33	0	0	0	69	145	2
BLOC1S1	0	1	0	14	35	1
MCRIP2	0	0	0	21	39	0
CSRNP1	2	1	0	57	134	1
SGMS2	0	0	0	34	53	0
PTPN13	3	0	0	185	469	15
BCL2L14	0	0	0	29	62	3
TVP23A	1	0	0	23	47	4
SMIM7	0	0	0	6	20	2
ZNF584	0	0	0	38	69	4
YWHAH	0	1	0	25	18	0
OR10G9	1	0	0	28	65	1
SWT1	2	1	0	46	136	0
PRKCB	0	6	0	74	69	1
UBE2M	0	1	0	19	17	1
SPINK14	0	0	0	10	11	0
FOXP4	3	2	1	105	132	1
TENT5C	0	1	0	45	55	0
TDRP	0	1	0	21	55	4
OR1A2	0	2	0	21	55	4
SIX4	0	0	0	62	120	1
COL6A1	2	7	0	183	339	2
WDFY1	0	0	0	41	89	1
CXCL17	0	0	0	12	16	0
MED28	1	0	0	15	42	3
UVRAG	0	5	0	58	118	1
TUBA3E	0	0	0	43	93	3
ZBTB6	1	0	0	18	54	1
TXN2	0	0	0	23	31	1
KCNQ4	0	0	0	95	131	1
C5orf15	0	2	0	23	45	0
MS4A15	0	1	0	24	68	4
COPS7B	1	1	0	15	26	0
ENSG00000284732	0	3	0	38	121	3
ANXA3	0	0	0	26	77	3
CABCOCO1	0	0	0	17	67	2
ELK3	0	1	0	64	88	0
RPL35A	0	0	0	12	13	0
LILRB4	1	1	0	0	0	0
RGS7BP	0	1	0	18	41	0
TUBA3C	2	1	0	70	97	4
ENSG00000284772	0	0	0	2	8	1
PRPF40B	0	5	0	100	191	1
DNAJA1	1	2	1	25	44	1
ANKUB1	0	0	0	42	110	6
AMPD2	1	2	0	96	119	4
PDE7A	0	1	0	35	68	1
POGLUT2	0	2	0	42	87	4
SNTA1	0	2	1	50	116	2
BANK1	1	2	0	60	150	9
FAM162B	1	0	0	14	42	2
RHOF	0	0	0	28	60	2
USH1C	0	1	0	96	228	9
C10orf82	0	0	0	23	43	0
PACC1	0	5	0	32	64	5
KRTAP5-11	0	0	0	12	32	2
FAM228B	0	0	0	22	50	4
EIF2AK2	1	3	0	48	69	2
INTS2	2	0	0	71	170	5
CTSV	0	1	0	26	74	2
GIPC2	0	1	0	25	55	3
LCE1E	0	0	0	18	33	1
MRM2	0	1	0	37	64	3
KCNK6	2	0	0	43	83	1
FGF19	0	1	0	22	45	1
HOXC11	0	1	0	28	76	2
SRSF4	0	0	0	39	90	1
TMEM178A	0	1	0	47	48	0
HOXC13	0	1	0	33	64	0
SRD5A1	0	0	0	34	56	2
ACER1	1	1	0	35	70	4
TREML2	0	0	0	32	62	1
ENTREP2	0	3	0	18	21	1
ETV2	0	0	0	33	75	0
LENG9	1	0	0	0	0	0
GPR42	0	0	0	3	5	0
CADM2	0	2	0	44	40	0
GALM	0	1	0	29	78	8
CLDND1	0	0	0	23	52	2
FRY	4	5	1	277	382	1
CMKLR2	0	1	0	24	52	4
MAPK8IP3	1	10	1	212	245	3
ZDBF2	2	3	2	160	389	9
SPAG11A	0	0	0	2	9	0
RBM14	1	5	0	85	129	0
SLC5A1	0	1	0	66	116	7
ZPR1	1	0	0	35	72	4
RNF151	0	0	0	38	73	1
BMP4	0	2	0	38	69	0
PGAP6	1	2	0	149	286	8
SAMD1	0	1	0	83	123	0
NLRP5	2	2	0	146	328	13
IGF1R	3	5	0	190	230	1
CCDC163	0	0	0	11	20	3
