gene_name	DDdenovo_syn	DDdenovo_mis	DDdenovo_stopgain	gnomAD_syn	gnomAD_mis	gnomAD_stopgain
YPEL4	0	0	0	16	19	0
TTC12	1	0	1	54	144	4
CCL22	1	0	0	14	30	0
SNRPB	0	0	0	19	23	0
SLC27A3	0	2	0	0	0	0
IL17RD	0	2	0	74	197	10
CFAP97D1	0	1	0	14	29	2
PRAMEF6	0	0	0	0	0	0
RB1	0	4	0	49	125	2
SLC5A3	0	1	0	65	97	1
EPN3	2	1	1	74	184	6
PODN	0	2	0	77	177	4
SFTPA1	0	0	0	21	43	2
RNF10	1	1	0	70	143	1
PNN	1	0	0	60	138	1
ORC2	2	0	0	38	84	2
OR6C65	0	1	0	21	53	1
BSPRY	0	0	0	45	130	5
MT4	0	0	0	6	16	1
HSPA4L	0	3	0	56	130	2
ENSG00000285827	2	16	11	50	119	0
RAB13	0	0	0	13	42	2
PELI3	0	1	0	47	72	1
CDHR5	3	2	0	0	0	0
AHRR	2	1	0	89	174	6
TBCC	0	0	0	33	83	2
CPLX3	0	0	0	12	42	3
KANK2	1	1	0	131	242	2
PHOX2B	0	0	0	32	37	0
C2orf80	0	0	0	18	43	1
ARIH2	0	1	0	49	43	2
PTH2R	1	2	0	48	142	6
LAMC3	2	0	1	206	412	9
WDR90	2	7	0	313	567	14
TBC1D3H	0	0	0	0	0	0
FCGR2C	0	0	0	0	0	0
AFMID	0	0	0	38	77	4
IL6R	1	2	0	70	97	1
EPGN	0	0	0	11	37	1
NUTM2F	0	0	0	29	52	1
GGCT	1	0	0	13	26	2
BLVRA	0	0	0	27	62	2
ZFP69	1	3	0	31	86	5
GARIN1B	0	1	0	33	56	4
MAN1B1	2	4	0	106	223	8
WSB2	1	2	0	47	38	1
BTBD19	1	0	0	32	54	1
SPDL1	0	0	0	44	127	9
ERFL	0	0	0	56	78	1
DCAF16	0	0	0	22	42	2
PAAF1	0	1	0	34	65	2
PROK2	0	0	0	13	35	0
KCTD17	1	1	0	40	45	0
XPO4	0	2	0	67	125	2
MOCS2	1	0	0	13	47	1
GABRG3	0	1	0	45	59	1
CD7	1	1	0	38	72	1
UGT2B7	0	2	0	53	138	7
SLC17A3	0	1	0	42	97	5
ENSG00000256861	0	0	0	43	93	0
KLK6	0	0	0	17	45	3
UMPS	0	0	0	38	90	2
RAP1A	0	0	0	19	14	0
COQ5	0	0	0	30	65	2
LAMP3	1	1	0	46	87	1
IFNA14	0	0	0	22	72	0
TMA7	0	0	0	5	19	1
DEFB135	0	0	0	13	27	1
CDAN1	1	1	0	176	313	8
EDDM13	0	0	0	17	31	0
HECTD3	2	2	0	101	161	5
GRIN3A	3	4	0	95	224	2
EIF3C	0	0	0	2	9	0
LILRA1	0	0	0	0	0	0
ACP1	0	0	0	19	38	2
EEF1B2	1	0	0	24	42	1
HLA-DQA2	1	1	0	0	0	0
TMPRSS11A	3	0	0	33	83	3
UGT1A6	0	1	0	51	125	3
OR52A1	0	1	0	21	70	0
RAB32	0	0	0	13	43	2
RCAN3	0	1	0	24	40	4
KRTAP9-1	0	0	0	17	51	4
TACC2	1	6	1	298	605	21
LGALSL	0	0	0	11	26	0
CLEC4M	1	1	0	38	53	1
ACTMAP	0	0	0	61	99	5
PDK1	1	0	1	36	69	6
CCL3	0	0	0	0	0	0
KRTAP4-16	0	0	0	0	0	0
MMAB	0	0	0	27	72	3
PYDC2	0	0	0	11	19	2
RAB5IF	0	1	0	9	19	1
CUEDC2	0	1	0	28	35	0
ST3GAL4	0	1	0	38	56	0
MYO6	1	1	0	86	198	5
GFRA1	0	3	0	63	94	0
ADM5	0	0	0	17	28	1
OR51B5	0	0	0	38	81	6
PTS	0	1	0	13	34	1
SNRPE	0	0	0	8	5	0
TAF15	0	2	0	0	0	0
CSMD2	3	9	0	395	646	5
TBC1D32	2	4	0	94	241	10
SOST	0	2	0	27	49	1
OSTF1	1	2	0	21	37	2
THUMPD2	1	0	0	37	100	9
APPL1	1	1	0	42	115	2
CFLAR	0	1	0	34	56	0
ZNF652	1	1	0	50	85	1
CECR2	2	0	1	151	312	1
TDRD3	0	0	0	45	107	4
TNRC6A	1	3	2	151	380	2
GPR4	1	2	0	44	54	1
SMIM13	0	0	0	8	12	0
EYA1	1	1	0	48	90	0
TRARG1	0	0	1	26	50	1
WSCD2	0	4	0	56	110	3
INTS9	0	1	0	70	127	6
HJV	0	2	0	41	73	3
HEXA	1	4	0	43	96	3
TBR1	0	2	1	58	59	0
ALDH1A1	1	1	0	42	80	0
TMEM86A	0	0	0	33	41	1
SPICE1	1	2	0	67	158	5
TTI2	0	1	0	37	100	3
ATP6V1G2-DDX39B	0	0	0	0	0	0
CDKN2B	0	1	0	12	37	0
CSNK2A2	0	0	0	23	26	0
REXO1	2	5	0	235	397	2
ZNF559-ZNF177	0	0	0	20	67	2
KLK10	0	0	1	37	78	4
TOPORS	0	2	0	79	168	0
NUBP2	0	2	0	52	94	4
ACTR8	0	0	1	64	97	8
CERCAM	1	2	0	82	158	7
FGF11	0	1	0	27	62	1
ENSG00000291240	1	1	0	93	170	5
TBX20	0	1	0	43	67	1
ECI2	2	0	0	42	86	3
ENSG00000260092	0	0	0	0	0	0
ST3GAL3	2	0	0	39	55	2
PTGDS	0	0	0	19	36	0
ABAT	1	4	0	59	130	2
LRRC25	0	0	0	34	56	0
HES3	1	0	0	25	39	0
LCE2D	0	0	1	12	37	0
PARP16	1	2	0	41	70	4
MSL1	0	2	1	63	97	0
ACSS1	1	2	1	88	140	3
CYP3A43	1	1	0	39	113	3
EZR	1	3	1	76	129	0
TEAD2	0	1	0	57	77	3
GALNT4	1	0	0	50	112	4
GGA1	1	2	0	85	124	2
RELA	0	2	0	57	76	0
PLAU	0	2	0	42	92	1
ANKS6	0	1	0	109	225	6
COA4	0	0	0	11	24	0
APLNR	0	2	0	43	89	0
EOMES	0	2	0	74	125	2
BSCL2	0	1	0	35	91	3
NAGK	0	2	0	38	95	2
PLPP6	0	0	1	44	75	3
ENSG00000259784	0	0	0	35	32	0
FGD5	1	0	0	177	395	1
KCNMB3	0	0	0	11	29	2
CMIP	1	7	0	146	110	0
XKR4	0	2	0	63	86	2
RBL2	1	1	1	74	175	0
OXCT1	0	0	1	36	50	0
MRPL43	0	0	0	18	22	0
KATNA1	0	0	0	44	78	6
SCNN1A	1	0	0	86	173	3
KRTAP4-7	0	0	0	10	16	1
KRTAP19-4	0	0	0	7	16	0
MYBPHL	1	1	0	48	90	6
CACNA1S	5	3	0	224	445	11
TXNDC17	0	1	0	13	31	0
VPREB3	0	0	0	17	37	2
SLC43A2	0	0	0	0	0	0
TM4SF20	0	0	0	23	47	4
PPP1R12C	0	3	0	101	187	1
TAF1L	2	2	0	140	337	6
CYP3A5	0	2	0	26	87	7
NDN	0	0	0	44	75	2
TVP23C-CDRT4	0	0	0	7	14	0
CDK5RAP3	0	0	0	51	103	4
CLPSL2	0	0	0	7	26	0
CBLC	1	0	0	45	98	5
ENSG00000170846	0	0	0	26	55	1
KBTBD7	0	5	0	58	107	4
GRK5	1	2	0	60	102	2
NUDT21	0	1	0	18	4	0
OSR1	1	1	0	21	47	0
CCDC93	0	4	0	54	129	2
ZNF605	0	0	0	43	92	6
SYNC	1	1	0	34	106	5
RSPO2	1	1	0	15	45	1
