gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
MGARP	MGARP	ENSG00000137463	4	3.88E-05	1.891	1	0	0	0	0	0	2	8	0	3
OR4K2	OR4K2	ENSG00000165762	14	3.88E-05	1.891	0	1	0	0	0	0	13	15	4	3
ZNF846	ZNF846	ENSG00000196605	19	1.25E-06	1.891	2	4	0	0	0	0	10	22	3	8
DEFB136	DEFB136	ENSG00000205884	8	0.09248	1.891	0	0	0	0	0	0	0	4	0	1
KLLN	KLLN	ENSG00000227268	10	0.0050546	1.891	0	0	0	0	0	0	0	0	0	0
OR5AU1	OR5AU1	ENSG00000169327	14	1.25E-06	1.891	0	0	0	0	0	0	7	14	8	7
ARL14	ARL14	ENSG00000179674	3	1.24E-06	1.892	3	0	0	0	0	0	8	10	0	3
GPX1	GPX1	ENSG00000233276	3	3.85E-05	1.892	0	0	0	0	5	3	3	2	1	2
MRPS12	MRPS12	ENSG00000128626	19	0.00020409	1.892	0	0	0	0	1	3	1	3	4	4
DEFB114	DEFB114	ENSG00000177684	6	0.091552	1.892	0	0	0	0	0	0	2	2	0	0
SPP2	SPP2	ENSG00000072080	2	1.69E-14	1.892	0	0	0	0	0	0	3	11	2	4
SNAPC5	SNAPC5	ENSG00000174446	15	0.00020115	1.893	0	1	0	0	0	0	5	3	0	1
ANG	ANG	ENSG00000214274	14	0.28738	1.893	0	0	0	0	0	0	6	6	2	3
KAAG1	KAAG1	ENSG00000146049	6	0.28715	1.893	0	0	0	0	0	0	0	1	0	0
KCNG4	KCNG4	ENSG00000168418	16	4.21E-16	1.893	1	1	0	0	0	0	11	28	3	6
OR4C12	OR4C12	ENSG00000221954	11	3.79E-05	1.893	0	0	0	0	0	0	5	16	0	2
CST5	CST5	ENSG00000170367	20	6.89E-06	1.893	0	0	0	0	0	0	3	6	3	3
SLN	SLN	ENSG00000170290	11	0.28701	1.893	0	0	0	0	0	0	1	2	0	0
AVPI1	AVPI1	ENSG00000119986	10	3.80E-05	1.893	0	1	0	0	0	0	4	6	0	0
SPON2	SPON2	ENSG00000159674	4	2.66E-15	1.893	0	0	0	0	0	0	0	1	0	1
FGFBP3	FGFBP3	ENSG00000174721	10	0.0010279	1.893	0	0	0	0	0	0	0	0	0	0
OR8K3	OR8K3	ENSG00000181689	11	1.21E-06	1.893	1	1	0	0	0	0	12	11	4	7
LCE1F	LCE1F	ENSG00000240386	1	0.0049674	1.893	0	1	0	0	0	0	0	3	0	1
FAM90A26	FAM90A26	ENSG00000229924	4	0.28656	1.894	0	0	0	0	0	0	0	0	0	0
KRTAP5-7	KRTAP5-7	ENSG00000244411	11	0.090951	1.894	0	0	0	0	0	0	4	1	1	1
ZNF486	ZNF486	ENSG00000256229	19	6.79E-06	1.894	1	4	0	0	0	0	9	14	3	7
DEFA3	DEFA3	ENSG00000239839	8	0.090546	1.894	0	0	0	0	0	0	0	0	0	0
RP11-763F8.1	AC074124.1	ENSG00000249049	4	0.0010216	1.894	0	0	0	0	0	0	0	0	0	0
OR10H4	OR10H4	ENSG00000176231	19	0.0048912	1.895	0	0	0	0	0	0	12	15	1	2
COX7A1	COX7A1	ENSG00000161281	19	3.73E-05	1.895	0	0	0	0	0	1	2	1	1	0
PYCARD	PYCARD	ENSG00000103490	16	0.00019768	1.895	0	0	0	1	0	0	3	7	3	5
CLDN20	CLDN20	ENSG00000171217	6	0.0048881	1.895	1	1	0	0	0	0	1	6	2	3
CHCHD1	CHCHD1	ENSG00000172586	10	6.74E-06	1.895	0	1	0	0	4	2	3	1	0	1
IL36RN	IL36RN	ENSG00000136695	2	3.39E-08	1.895	0	1	0	0	0	0	2	7	2	9
AC011239.1	AC011239.1	ENSG00000224361	2	0.02222	1.895	0	0	0	0	0	0	0	0	0	0
HIST4H4	H4-16	ENSG00000197837	12	0.022279	1.895	0	2	0	0	2	0	1	5	1	2
NPFF	NPFF	ENSG00000139574	12	3.65E-05	1.896	0	0	0	0	0	2	2	1	1	0
IFNK	IFNK	ENSG00000147896	9	9.06E-10	1.896	0	0	0	0	0	0	8	18	4	2
KRTAP9-6	KRTAP9-6	ENSG00000212659	17	0.28406	1.896	0	0	0	0	0	0	0	0	0	0
FOXD4	FOXD4	ENSG00000170122	9	6.64E-06	1.896	0	0	0	0	0	0	0	0	0	0
SKA2	SKA2	ENSG00000182628	17	2.00E-07	1.896	0	0	0	0	0	0	1	1	1	0
C8orf82	C8orf82	ENSG00000213563	8	3.61E-05	1.897	0	0	0	0	0	0	0	0	0	1
C11orf86	C11orf86	ENSG00000173237	11	6.57E-06	1.897	0	0	0	0	0	0	0	0	0	0
CENPBD1	CENPBD1	ENSG00000177946	16	0.28303	1.897	0	0	0	0	0	0	1	1	1	1
AL355390.1	AL355390.1	ENSG00000177596	13	0.08911	1.897	0	0	0	0	0	0	0	0	0	0
DEFB133	DEFB133	ENSG00000214643	6	0.2827	1.897	0	0	0	0	0	0	0	0	0	0
NDUFB1	NDUFB1	ENSG00000183648	14	3.59E-05	1.897	0	0	0	0	0	2	1	0	0	2
C17orf67	C17orf67	ENSG00000214226	17	6.55E-06	1.897	0	0	0	0	0	0	1	6	0	2
SPACA4	SPACA4	ENSG00000177202	19	0.28303	1.897	0	0	1	0	1	1	2	0	4	2
COX7A2L	COX7A2L	ENSG00000115944	2	1.15E-06	1.897	0	0	0	0	0	0	4	3	4	0
KLHL35	KLHL35	ENSG00000149243	11	2.37E-15	1.898	4	4	0	0	0	0	12	8	1	5
