gene	gene_gencodeV33	gene_id	chromosome	pLI	LOEUF	case.ptv	control.ptv	case.misb	control.misb	case.misa	control.misa	case.mis	control.mis	case.syn	control.syn
RNGTT	RNGTT	ENSG00000111880	6	0.37382	0.407	1	1	0	0	1	4	3	8	5	7
MAPK6	MAPK6	ENSG00000069956	15	0.69646	0.407	0	0	1	0	3	4	3	7	10	8
KLC1	KLC1	ENSG00000126214	14	0.37095	0.408	0	1	0	0	1	3	6	14	9	11
MYOG	MYOG	ENSG00000122180	1	0.89602	0.408	0	1	0	0	5	2	0	0	3	1
MYSM1	MYSM1	ENSG00000162601	1	0.043365	0.408	0	1	0	0	1	1	12	9	1	5
PELI2	PELI2	ENSG00000139946	14	0.82955	0.408	1	0	0	0	5	6	8	9	7	11
MAP3K9	MAP3K9	ENSG00000006432	14	0.11764	0.408	0	1	0	0	10	13	11	27	7	15
FSCN1	FSCN1	ENSG00000075618	7	0.86852	0.408	0	0	0	0	7	5	2	5	7	10
FAM171B	FAM171B	ENSG00000144369	2	0.48535	0.408	0	0	0	0	3	5	10	17	3	10
GAK	GAK	ENSG00000178950	4	0.0051818	0.408	0	0	0	0	0	0	11	45	10	27
KIAA1551	RESF1	ENSG00000174718	12	0.009294	0.408	0	0	0	0	0	0	29	77	11	21
PRPF38A	PRPF38A	ENSG00000134748	1	0.77227	0.408	0	1	1	3	0	0	6	7	0	4
LPCAT4	LPCAT4	ENSG00000176454	15	0.48207	0.408	0	0	1	2	6	3	0	3	7	4
SCNN1G	SCNN1G	ENSG00000166828	16	0.48199	0.408	1	0	3	1	1	6	14	17	11	12
ISL1	ISL1	ENSG00000016082	5	0.86857	0.408	0	0	0	2	3	5	3	5	3	2
RALGPS2	RALGPS2	ENSG00000116191	1	0.26225	0.408	0	1	0	0	3	2	7	11	3	8
TNFSF12	TNFSF12	ENSG00000239697	17	0.76997	0.408	0	0	0	0	0	0	0	0	0	0
TNFSF12-TNFSF13	TNFSF12-TNFSF13	ENSG00000248871	17	0.76997	0.408	0	0	0	0	1	2	5	3	3	3
GRIK4	GRIK4	ENSG00000149403	11	0.11126	0.409	2	3	0	0	16	15	9	25	15	14
CLDN5	CLDN5	ENSG00000184113	22	0.89512	0.409	0	0	0	1	1	0	0	0	0	1
HOXB3	HOXB3	ENSG00000120093	17	0.8917	0.409	0	0	0	0	6	2	5	7	4	8
ARHGAP1	ARHGAP1	ENSG00000175220	11	0.76774	0.409	0	0	0	0	1	1	10	17	4	7
TSGA10	TSGA10	ENSG00000135951	2	0.10999	0.409	0	2	0	0	0	0	5	11	4	7
RPL35A	RPL35A	ENSG00000182899	3	0.89535	0.409	0	0	0	0	0	0	1	1	0	1
GNA13	GNA13	ENSG00000120063	17	0.86735	0.409	0	0	4	2	3	2	3	3	2	7
IRX3	IRX3	ENSG00000177508	16	0.89165	0.409	0	0	0	0	0	0	3	1	6	5
SESN3	SESN3	ENSG00000149212	11	0.68496	0.409	0	0	0	0	10	6	0	6	2	9
JPH1	JPH1	ENSG00000104369	8	0.76731	0.409	0	0	2	1	3	3	2	7	2	9
MAP3K10	MAP3K10	ENSG00000130758	19	0.58758	0.409	0	2	3	4	4	6	0	1	4	8
HEPACAM	HEPACAM	ENSG00000165478	11	0.86791	0.409	0	0	0	0	1	5	10	9	1	3
EMX1	EMX1	ENSG00000135638	2	0.89532	0.409	0	0	0	2	1	0	0	0	1	0
DENND2A	DENND2A	ENSG00000146966	7	0.067255	0.41	1	0	0	0	0	0	14	30	7	21
KCNQ4	KCNQ4	ENSG00000117013	1	0.46799	0.41	0	0	0	2	0	0	3	3	4	6
SRRM4	SRRM4	ENSG00000139767	12	0.46456	0.41	0	0	0	1	0	0	10	18	9	8
ZC3H3	ZC3H3	ENSG00000014164	8	0.46998	0.41	0	0	0	0	0	0	3	22	0	4
CCND1	CCND1	ENSG00000110092	11	0.89057	0.41	0	0	0	0	0	3	0	3	0	1
ZNF750	ZNF750	ENSG00000141579	17	0.86616	0.41	0	0	0	0	1	0	19	27	14	17
KIAA1109	KIAA1109	ENSG00000138688	4	3.26E-21	0.41	5	8	1	2	33	51	47	85	18	59
CDH20	CDH20	ENSG00000101542	18	0.45869	0.411	0	0	0	0	6	11	10	13	13	6
AAMP	AAMP	ENSG00000127837	2	0.76172	0.411	0	0	0	0	5	8	5	8	8	18
BMP6	BMP6	ENSG00000153162	6	0.75947	0.411	0	0	0	0	0	0	7	17	9	4
MMP24	MMP24	ENSG00000125966	20	0.67752	0.411	0	1	0	0	4	11	4	4	4	9
NACAD	NACAD	ENSG00000136274	7	0.16352	0.411	0	0	0	0	0	0	0	0	0	0
RNF10	RNF10	ENSG00000022840	12	0.16406	0.411	1	1	0	0	0	0	24	26	12	14
LMO7	LMO7	ENSG00000136153	13	0.00024661	0.411	0	2	0	0	0	0	27	66	14	17
PLCG1	PLCG1	ENSG00000124181	20	7.93E-05	0.411	2	0	1	3	23	31	8	17	12	24
ZNF652	ZNF652	ENSG00000198740	17	0.82299	0.411	0	0	0	0	4	4	7	23	4	1
CLIP3	CLIP3	ENSG00000105270	19	0.67948	0.411	0	0	2	3	5	9	2	3	8	7
PPP6R2	PPP6R2	ENSG00000100239	22	0.16399	0.411	0	0	0	0	8	6	12	11	5	12
PTH1R	PTH1R	ENSG00000160801	3	0.57253	0.411	0	0	0	0	6	13	11	15	1	11
HSPG2	HSPG2	ENSG00000142798	1	1.04E-19	0.412	3	5	0	0	2	3	101	170	53	86
FTSJ3	FTSJ3	ENSG00000108592	17	0.037201	0.412	0	3	0	0	0	0	30	49	12	16
KCTD10	KCTD10	ENSG00000110906	12	0.86253	0.412	1	2	1	2	0	2	3	5	2	9
HDAC3	HDAC3	ENSG00000171720	5	0.56737	0.412	1	0	6	7	0	3	0	0	1	4
KLHL9	KLHL9	ENSG00000198642	9	0.82017	0.412	0	0	0	0	2	7	10	12	1	3
PTOV1	PTOV1	ENSG00000104960	19	0.75737	0.412	0	0	0	0	0	0	10	22	8	14
EML5	EML5	ENSG00000165521	14	5.71E-07	0.412	1	2	0	0	3	4	28	38	17	17
ITGAL	ITGAL	ENSG00000005844	16	0.0043213	0.412	0	1	3	1	5	7	10	29	11	20
WDR37	WDR37	ENSG00000047056	10	0.56642	0.412	0	1	0	0	3	9	3	8	7	17
MEX3C	MEX3C	ENSG00000176624	18	0.86192	0.412	0	1	0	0	3	10	6	6	4	2
KCTD3	KCTD3	ENSG00000136636	1	0.1013	0.412	2	0	0	1	4	7	2	9	6	6
MYCN	MYCN	ENSG00000134323	2	0.88897	0.412	0	0	1	1	3	7	2	3	9	8
PLEKHG1	PLEKHG1	ENSG00000120278	6	0.012728	0.412	5	2	0	0	0	0	37	76	17	16
SMG5	SMG5	ENSG00000198952	1	0.012768	0.412	0	0	0	0	3	3	12	33	7	15
UHRF1BP1L	UHRF1BP1L	ENSG00000111647	12	0.0042502	0.412	5	1	0	0	0	0	30	31	11	13
FYB	FYB1	ENSG00000082074	5	0.23803	0.412	2	1	0	0	0	0	15	25	4	7
NCALD	NCALD	ENSG00000104490	8	0.8931	0.413	0	0	0	2	3	2	0	3	0	3
IBTK	IBTK	ENSG00000005700	6	0.0022144	0.413	0	2	0	0	1	1	12	24	6	6
LEMD2	LEMD2	ENSG00000161904	6	0.75293	0.413	0	2	0	0	5	5	1	0	0	1
ZNF513	ZNF513	ENSG00000163795	2	0.81634	0.413	0	0	0	0	4	8	12	15	7	12
FLRT2	FLRT2	ENSG00000185070	14	0.81715	0.413	0	0	0	0	5	6	8	24	8	12
SBNO2	SBNO2	ENSG00000064932	19	0.0070655	0.413	0	0	0	0	0	0	3	9	2	8
CACNG7	CACNG7	ENSG00000105605	19	0.88714	0.413	1	0	0	0	3	1	3	4	4	8
SLC38A4	SLC38A4	ENSG00000139209	12	0.56028	0.413	0	0	0	0	1	6	18	23	7	9
MLF2	MLF2	ENSG00000089693	12	0.86042	0.413	0	0	1	1	1	0	5	5	2	1
B3GNT2	B3GNT2	ENSG00000170340	2	0.88722	0.413	0	0	0	0	1	3	3	12	3	5
TAF4B	TAF4B	ENSG00000141384	18	0.23446	0.413	0	2	0	0	0	0	9	32	4	11
DTX3	DTX3	ENSG00000178498	12	0.88755	0.413	0	1	1	0	3	4	6	7	5	10
CD2AP	CD2AP	ENSG00000198087	6	0.22989	0.413	0	1	0	0	0	0	11	17	5	13
GCC2	GCC2	ENSG00000135968	2	1.99E-05	0.414	0	1	2	0	0	0	27	34	10	14
SV2A	SV2A	ENSG00000159164	1	0.22782	0.414	1	0	4	4	6	6	10	28	6	19
LMNB1	LMNB1	ENSG00000113368	5	0.55481	0.414	0	0	0	0	0	7	7	15	6	6
C1orf21	C1orf21	ENSG00000116667	1	0.89204	0.414	0	0	0	0	1	1	1	2	4	2
SUB1	SUB1	ENSG00000113387	5	0.89245	0.414	0	1	0	0	0	0	0	2	0	2
DCP2	DCP2	ENSG00000172795	5	0.66403	0.414	0	0	0	0	0	0	5	18	4	7
ST13	ST13	ENSG00000100380	22	0.66074	0.414	0	0	0	0	1	3	1	5	1	4
IDE	IDE	ENSG00000119912	10	0.0066309	0.414	1	3	0	0	1	7	10	25	10	10
TMED2	TMED2	ENSG00000086598	12	0.89231	0.414	0	0	0	0	0	1	1	0	0	0
FAM205A	FAM205A	ENSG00000205108	9	0.32121	0.414	0	0	0	0	0	0	0	0	0	0
ST8SIA3	ST8SIA3	ENSG00000177511	18	0.85912	0.414	0	0	0	0	2	10	1	1	3	5
HSF1	HSF1	ENSG00000185122	8	0.74762	0.414	0	1	0	0	3	3	2	5	2	9
FEZ1	FEZ1	ENSG00000149557	11	0.75002	0.414	0	0	0	0	2	3	1	6	4	0
ZBTB41	ZBTB41	ENSG00000177888	1	0.22393	0.414	0	0	0	3	0	4	7	21	4	4
RRM2	RRM2	ENSG00000171848	2	0.74515	0.415	0	0	0	0	1	4	0	2	2	6
NEMF	NEMF	ENSG00000165525	14	0.00035788	0.415	1	2	0	0	0	0	27	35	12	12
GRM1	GRM1	ENSG00000152822	6	0.14279	0.415	0	3	0	2	10	17	10	15	11	24
SEL1L3	SEL1L3	ENSG00000091490	4	0.0035827	0.415	0	0	0	0	0	0	20	35	6	13
GLIS2	GLIS2	ENSG00000126603	16	0.85834	0.415	0	0	0	0	3	3	7	11	7	2
LMX1B	LMX1B	ENSG00000136944	9	0.74637	0.415	0	0	0	0	9	11	2	3	4	8
SOX17	SOX17	ENSG00000164736	8	0.88495	0.415	0	0	1	0	0	0	1	2	1	2
FAM98A	FAM98A	ENSG00000119812	2	0.54728	0.415	1	0	0	0	0	0	9	17	2	9
USP22	USP22	ENSG00000124422	17	0.55212	0.415	1	0	2	2	6	5	1	6	11	12
BUB3	BUB3	ENSG00000154473	10	0.80927	0.416	0	0	0	2	1	0	4	4	3	4
EIF3J	EIF3J	ENSG00000104131	15	0.85657	0.416	0	0	0	0	0	0	2	4	0	2
RAB1B	RAB1B	ENSG00000174903	11	0.88438	0.416	0	0	1	0	0	0	1	2	0	5
OSBPL8	OSBPL8	ENSG00000091039	12	0.010518	0.416	0	2	1	0	1	2	3	14	7	11
NEUROD6	NEUROD6	ENSG00000164600	7	0.88454	0.416	0	0	0	0	3	3	0	0	1	8
HOXA10	HOXA10	ENSG00000253293	7	0.88453	0.416	0	0	0	0	0	0	1	2	2	4
ZNF787	ZNF787	ENSG00000142409	19	0.8911	0.416	0	0	1	0	0	0	0	0	0	3
ARPC1A	ARPC1A	ENSG00000241685	7	0.73997	0.416	0	0	0	0	0	2	4	4	2	9
LRP4	LRP4	ENSG00000134569	11	1.44E-06	0.416	1	2	2	2	29	50	18	40	18	36
PDE7B	PDE7B	ENSG00000171408	6	0.54578	0.416	0	0	0	0	2	6	8	4	1	4
LRRTM2	LRRTM2	ENSG00000146006	5	0.80903	0.416	1	0	0	0	4	10	2	4	3	9
LINGO2	LINGO2	ENSG00000174482	9	0.85665	0.416	0	2	0	0	0	0	16	33	3	7
FAM53B	FAM53B	ENSG00000189319	10	0.85523	0.416	0	0	0	0	2	4	4	5	5	12
SLC25A12	SLC25A12	ENSG00000115840	2	0.21604	0.416	0	0	0	0	7	18	7	11	6	2
ZNF746	ZNF746	ENSG00000181220	7	0.65205	0.416	0	0	1	0	6	9	1	7	5	6
NEDD1	NEDD1	ENSG00000139350	12	0.42159	0.416	0	0	0	0	0	0	5	20	9	8
HPCAL1	HPCAL1	ENSG00000115756	2	0.89103	0.416	0	0	1	0	0	0	0	0	2	2
ADAM9	ADAM9	ENSG00000168615	8	0.029431	0.417	0	2	0	0	9	15	8	18	6	14
CLVS1	CLVS1	ENSG00000177182	8	0.85398	0.417	1	0	0	0	1	5	7	8	4	4
ZNF606	ZNF606	ENSG00000166704	19	0.41765	0.417	7	3	0	0	0	0	21	37	9	9
ACO2	ACO2	ENSG00000100412	22	0.20791	0.417	2	2	0	0	7	4	9	6	8	15
NOG	NOG	ENSG00000183691	17	0.89026	0.417	0	0	0	0	0	0	0	2	2	0
CCNY	CCNY	ENSG00000108100	10	0.80672	0.417	1	1	0	0	4	8	1	4	7	4
RTN2	RTN2	ENSG00000125744	19	0.41643	0.417	0	1	0	0	2	2	10	16	4	9
CRAMP1L	CRAMP1	ENSG00000007545	16	0.050239	0.417	0	0	2	0	6	3	11	16	8	10
AKT2	AKT2	ENSG00000105221	19	0.64432	0.417	1	0	1	0	6	9	3	7	5	10
GNPAT	GNPAT	ENSG00000116906	1	0.30403	0.417	1	4	0	0	0	0	13	17	7	12
LRBA	LRBA	ENSG00000198589	4	7.15E-12	0.417	2	3	0	0	0	0	49	100	19	44
CRTC1	CRTC1	ENSG00000105662	19	0.531	0.418	0	0	0	1	3	14	4	9	4	16
FKBP5	FKBP5	ENSG00000096060	6	0.73393	0.418	1	2	0	0	0	5	14	7	2	5
INSM2	INSM2	ENSG00000168348	14	0.88177	0.418	0	0	0	0	0	0	8	4	1	3
CDK8	CDK8	ENSG00000132964	13	0.40964	0.418	0	0	0	1	5	4	0	0	4	13
PITX1	PITX1	ENSG00000069011	5	0.88244	0.418	0	0	1	6	4	5	0	1	2	6
EI24	EI24	ENSG00000149547	11	0.73348	0.418	0	0	0	0	1	1	4	3	1	2
GPCPD1	GPCPD1	ENSG00000125772	20	0.2018	0.418	0	2	0	0	3	0	8	10	5	9
IPO11	IPO11	ENSG00000086200	5	0.0016626	0.418	0	1	0	0	0	0	7	26	2	7
ANKRD62	ANKRD62	ENSG00000181626	18	0.301	0.418	0	0	0	0	0	0	0	0	0	0
ABI1	ABI1	ENSG00000136754	10	0.63911	0.418	0	1	0	0	2	5	6	10	3	7
CCNF	CCNF	ENSG00000162063	16	0.12679	0.419	2	1	0	0	0	0	16	25	10	13
DAB2	DAB2	ENSG00000153071	5	0.40701	0.419	0	0	0	0	0	0	30	43	5	16
FNDC4	FNDC4	ENSG00000115226	2	0.88104	0.419	0	0	0	0	1	5	1	3	5	4
KITLG	KITLG	ENSG00000049130	12	0.85024	0.419	2	0	0	0	0	0	4	9	4	5
CDH10	CDH10	ENSG00000040731	5	0.29379	0.419	0	1	0	0	4	12	4	10	5	13
FAM214B	FAM214B	ENSG00000005238	9	0.80243	0.419	0	0	0	0	0	0	13	6	4	5
MYO6	MYO6	ENSG00000196586	6	2.43E-05	0.419	0	3	0	0	3	4	24	42	7	11
APP	APP	ENSG00000142192	21	0.046544	0.419	2	0	0	0	11	7	10	15	11	11
SCYL2	SCYL2	ENSG00000136021	12	0.077114	0.419	0	1	0	0	0	0	8	25	2	11
GPR107	GPR107	ENSG00000148358	9	0.28858	0.419	0	0	0	0	1	1	7	13	10	7
ELAC1	ELAC1	ENSG00000141642	18	0.88118	0.419	0	0	0	0	0	0	1	5	2	7
ZNF280D	ZNF280D	ENSG00000137871	15	0.046841	0.419	0	1	0	0	1	3	17	24	3	4
NUP160	NUP160	ENSG00000030066	11	6.78E-06	0.419	1	4	0	0	0	0	28	55	12	17
ZNF202	ZNF202	ENSG00000166261	11	0.5263	0.419	1	1	0	0	2	1	13	24	10	10
DUSP4	DUSP4	ENSG00000120875	8	0.88152	0.419	0	0	1	2	0	4	0	2	2	9
KDELR1	KDELR1	ENSG00000105438	19	0.88109	0.419	1	0	1	0	1	4	0	0	3	4
C6orf106	ILRUN	ENSG00000196821	6	0.85127	0.419	1	0	4	5	0	0	7	8	4	5
MIER1	MIER1	ENSG00000198160	1	0.28881	0.419	1	0	0	0	0	2	4	11	1	5
NDST2	NDST2	ENSG00000166507	10	0.12803	0.419	0	2	0	0	7	18	12	17	5	21
BCL2L11	BCL2L11	ENSG00000153094	2	0.88857	0.42	0	0	0	0	0	0	5	9	3	4
USP6NL	USP6NL	ENSG00000148429	10	0.12097	0.42	4	1	0	0	0	0	19	26	3	12
ADAR	ADAR	ENSG00000160710	1	0.026282	0.42	1	2	8	11	3	7	25	31	14	16
DNTTIP1	DNTTIP1	ENSG00000101457	20	0.7272	0.42	0	0	0	0	1	3	0	4	1	3
MBOAT2	MBOAT2	ENSG00000143797	2	0.51629	0.42	0	0	0	0	3	5	5	11	6	3
CXXC4	CXXC4	ENSG00000168772	4	0.88863	0.42	0	0	0	0	0	0	2	0	1	0
CXXC5	CXXC5	ENSG00000171604	5	0.88856	0.42	0	0	0	0	4	4	2	3	3	7
GOLGB1	GOLGB1	ENSG00000173230	3	9.30E-12	0.42	2	9	0	0	0	0	83	100	16	34
IRF2	IRF2	ENSG00000168310	4	0.79793	0.42	0	0	1	3	4	5	3	4	5	11
PCDH7	PCDH7	ENSG00000169851	4	0.39505	0.42	0	0	0	0	0	0	18	18	8	11
TBK1	TBK1	ENSG00000183735	12	0.075174	0.42	0	1	0	0	3	12	6	7	2	3
CC2D1A	CC2D1A	ENSG00000132024	19	0.0084599	0.42	1	0	0	0	0	1	27	38	5	18
POU6F1	POU6F1	ENSG00000184271	12	0.88028	0.42	0	0	1	0	3	4	2	6	1	2
GRID2IP	GRID2IP	ENSG00000215045	7	0.1245	0.42	0	0	0	0	0	0	0	0	0	0
MFAP3L	MFAP3L	ENSG00000198948	4	0.8803	0.42	0	0	0	0	2	13	5	6	7	9
FAM84A	LRATD1	ENSG00000162981	2	0.88828	0.42	0	0	0	0	2	2	0	4	0	1
IFFO2	IFFO2	ENSG00000169991	1	0.72617	0.42	0	1	0	3	0	0	0	0	5	1
PIM1	PIM1	ENSG00000137193	6	0.84846	0.42	1	0	0	0	3	3	2	6	4	8
INTS5	INTS5	ENSG00000185085	11	0.5135	0.421	0	0	0	0	7	16	8	13	12	27
ERH	ERH	ENSG00000100632	14	0.88774	0.421	0	0	0	0	0	0	0	0	2	2
CYTH3	CYTH3	ENSG00000008256	7	0.72252	0.421	0	0	3	6	1	1	5	10	6	6
VAC14	VAC14	ENSG00000103043	16	0.18554	0.421	0	0	0	0	3	10	9	12	5	13
MMS19	MMS19	ENSG00000155229	10	0.0082883	0.421	0	4	0	0	0	0	15	22	14	19
TAF2	TAF2	ENSG00000064313	8	0.0025958	0.421	0	1	0	0	8	16	16	30	11	19
KIAA1217	KIAA1217	ENSG00000120549	10	0.00023185	0.421	1	3	0	0	0	0	37	84	21	29
ITGA9	ITGA9	ENSG00000144668	3	0.0081584	0.421	0	3	0	0	0	0	27	44	11	22
KLF9	KLF9	ENSG00000119138	9	0.88783	0.421	0	0	0	1	2	6	0	0	2	1
KIAA0100	KIAA0100	ENSG00000007202	17	5.44E-09	0.421	3	5	1	0	10	15	52	61	24	35
SHPRH	SHPRH	ENSG00000146414	6	1.70E-06	0.421	2	2	0	0	6	15	15	42	7	17
SEZ6L2	SEZ6L2	ENSG00000174938	16	0.11743	0.421	1	0	0	0	6	19	10	21	7	21
PARG	PARG	ENSG00000227345	10	0.39209	0.421	0	0	0	0	0	0	0	0	0	0
POU4F1	POU4F1	ENSG00000152192	13	0.88762	0.421	0	0	0	0	0	0	0	1	2	3
EZH1	EZH1	ENSG00000108799	17	0.042501	0.421	0	2	2	5	4	3	0	4	2	6
SCYL3	SCYL3	ENSG00000000457	1	0.28151	0.421	1	1	0	0	0	1	15	29	3	14
ELMOD1	ELMOD1	ENSG00000110675	11	0.79258	0.422	1	0	0	0	0	0	1	5	0	2
CNTNAP1	CNTNAP1	ENSG00000108797	17	3.45E-05	0.422	2	4	5	4	21	26	24	32	24	21
RP11-598P20.5	AC110275.1	ENSG00000254673	8	0.84599	0.422	0	0	0	0	0	0	0	0	0	0
SLC6A17	SLC6A17	ENSG00000197106	1	0.50353	0.422	0	0	0	0	8	11	5	11	9	26
EPHB4	EPHB4	ENSG00000196411	7	0.013497	0.422	0	1	0	0	10	23	6	12	7	17
PLEKHA6	PLEKHA6	ENSG00000143850	1	0.013746	0.422	0	3	0	0	0	0	29	45	15	13
DVL3	DVL3	ENSG00000161202	3	0.38544	0.422	1	0	0	0	15	17	5	6	8	12
CD40	CD40	ENSG00000101017	20	0.84603	0.422	0	0	0	0	2	1	0	6	2	4
TAGAP	TAGAP	ENSG00000164691	6	0.84621	0.422	0	1	0	0	1	3	18	21	9	8
OVOL1	OVOL1	ENSG00000172818	11	0.87808	0.422	0	0	0	0	2	5	0	5	5	0
LBR	LBR	ENSG00000143815	1	0.18143	0.422	2	1	0	0	0	0	16	31	8	7
RSL24D1	RSL24D1	ENSG00000137876	15	0.87838	0.422	0	0	0	0	1	1	3	1	2	4
VAMP2	VAMP2	ENSG00000220205	17	0.88736	0.422	0	0	0	0	3	0	0	0	0	2
USP46	USP46	ENSG00000109189	4	0.79135	0.423	0	0	2	2	1	3	1	1	1	3
ACAP1	ACAP1	ENSG00000072818	17	0.067617	0.423	0	1	0	0	9	21	7	12	7	13
INPPL1	INPPL1	ENSG00000165458	11	0.0023313	0.423	3	2	0	0	14	13	20	32	19	23
RPS13	RPS13	ENSG00000110700	11	0.87646	0.423	0	0	1	0	1	1	0	4	0	1
RTN4RL2	RTN4RL2	ENSG00000186907	11	0.87694	0.423	0	0	4	2	1	0	0	0	1	0
ZBED5	ZBED5	ENSG00000236287	11	0.71253	0.423	0	0	0	0	0	0	0	0	0	0
SYNE1	SYNE1	ENSG00000131018	6	3.19E-52	0.423	8	18	0	0	0	0	208	390	78	121
ZDHHC14	ZDHHC14	ENSG00000175048	6	0.7151	0.423	0	0	0	1	3	6	3	8	4	5
TOB2	TOB2	ENSG00000183864	22	0.88658	0.423	0	0	0	0	2	6	7	7	5	6
SNX6	SNX6	ENSG00000129515	14	0.49898	0.423	0	1	0	0	2	3	2	8	0	0
FZD8	FZD8	ENSG00000177283	10	0.78983	0.423	0	0	0	0	0	0	3	3	2	3
ANP32E	ANP32E	ENSG00000143401	1	0.84376	0.423	0	0	0	0	1	3	3	0	1	3
CDH22	CDH22	ENSG00000149654	20	0.4999	0.423	0	0	0	0	0	0	9	10	14	6
NOS1AP	NOS1AP	ENSG00000198929	1	0.61424	0.423	0	0	3	4	1	5	6	7	11	8
VIM	VIM	ENSG00000026025	10	0.71255	0.423	0	0	0	0	2	12	6	8	4	9
RBPMS2	RBPMS2	ENSG00000166831	15	0.87683	0.423	0	0	0	0	1	0	4	5	3	2
PRDM6	PRDM6	ENSG00000061455	5	0.60835	0.424	0	0	0	0	0	0	0	0	0	0
MAG	MAG	ENSG00000105695	19	0.49228	0.424	2	2	0	0	6	2	6	12	3	9
TRABD2B	TRABD2B	ENSG00000269113	1	0.84273	0.424	0	0	0	0	0	0	0	0	0	0
SLC1A2	SLC1A2	ENSG00000110436	11	0.71036	0.424	1	0	0	0	8	8	4	12	8	11
FBXO15	FBXO15	ENSG00000141665	18	0.71072	0.424	0	0	0	0	0	0	6	16	3	5
RUNX3	RUNX3	ENSG00000020633	1	0.84295	0.424	0	0	3	1	1	2	0	1	1	3
NEB	NEB	ENSG00000183091	2	4.56E-41	0.424	9	4	0	0	0	0	127	222	40	92
TASP1	TASP1	ENSG00000089123	20	0.60781	0.424	0	0	0	0	0	2	2	3	0	3
HMGXB4	HMGXB4	ENSG00000100281	22	0.49435	0.424	0	0	0	0	1	3	3	9	4	8
RPS12	RPS12	ENSG00000112306	6	0.88531	0.425	0	0	0	0	0	0	3	1	0	3
EHF	EHF	ENSG00000135373	11	0.70543	0.425	0	0	0	0	2	6	6	6	3	3
KLB	KLB	ENSG00000134962	4	0.036433	0.425	2	1	0	0	4	18	9	18	2	13
MBNL1	MBNL1	ENSG00000152601	3	0.70579	0.425	0	0	2	5	2	3	1	1	5	7
CDC25B	CDC25B	ENSG00000101224	20	0.3643	0.425	0	1	0	4	3	2	7	5	6	19
STK31	STK31	ENSG00000196335	7	0.006616	0.425	0	3	0	0	0	0	14	37	5	13
STOX2	STOX2	ENSG00000173320	4	0.48409	0.425	1	0	0	0	3	2	19	19	9	14
PDLIM7	PDLIM7	ENSG00000196923	5	0.70838	0.425	0	0	0	0	0	0	5	19	1	9
FGR	FGR	ENSG00000000938	1	0.48408	0.425	0	0	0	1	5	5	3	5	5	8
ANKRD13B	ANKRD13B	ENSG00000198720	17	0.36217	0.425	0	0	2	6	5	5	1	1	2	8
DENR	DENR	ENSG00000139726	12	0.87514	0.425	0	0	0	0	0	0	0	1	1	2
TTLL7	TTLL7	ENSG00000137941	1	0.0035761	0.426	0	1	0	0	9	14	9	8	12	9
CERS2	CERS2	ENSG00000143418	1	0.47978	0.426	2	0	0	0	6	1	6	6	7	11
MUC2	MUC2	ENSG00000198788	11	9.43E-10	0.426	0	1	0	0	0	0	8	51	2	29
LRIG1	LRIG1	ENSG00000144749	3	0.035031	0.426	5	4	0	0	0	0	42	62	7	37
EPB41L5	EPB41L5	ENSG00000115109	2	0.020795	0.426	0	0	0	0	0	0	18	40	6	8
TGFBRAP1	TGFBRAP1	ENSG00000135966	2	0.1651	0.426	0	2	0	0	4	8	20	30	17	16
AKAP12	AKAP12	ENSG00000131016	6	0.035666	0.426	0	2	0	0	0	0	35	77	16	41
TBC1D15	TBC1D15	ENSG00000121749	12	0.06152	0.426	1	0	0	0	0	0	12	20	5	7
SMPD3	SMPD3	ENSG00000103056	16	0.59429	0.427	0	1	0	0	1	1	14	18	7	12
LRRN2	LRRN2	ENSG00000170382	1	0.7805	0.427	1	1	0	0	7	14	14	17	9	18
SLC6A4	SLC6A4	ENSG00000108576	17	0.24602	0.427	4	3	0	0	8	12	9	12	7	18
TBX1	TBX1	ENSG00000184058	22	0.83661	0.427	0	0	0	0	3	6	0	0	3	5
ATP10A	ATP10A	ENSG00000206190	15	0.0018269	0.427	1	2	1	2	1	4	31	66	13	27
PEG10	PEG10	ENSG00000242265	7	0.87274	0.427	0	0	1	0	2	2	2	3	3	10
OSGIN2	OSGIN2	ENSG00000164823	8	0.59345	0.427	1	1	0	0	6	6	5	10	3	12
RNF123	RNF123	ENSG00000164068	3	8.47E-05	0.427	1	1	3	6	7	7	25	49	17	24
TMEM183A	TMEM183A	ENSG00000163444	1	0.70022	0.427	2	0	1	2	1	1	2	1	1	4
KIF21B	KIF21B	ENSG00000116852	1	1.77E-06	0.428	1	3	0	0	28	45	19	33	19	35
AMOTL2	AMOTL2	ENSG00000114019	3	0.15515	0.428	2	1	0	0	0	0	9	17	11	14
SORCS2	SORCS2	ENSG00000184985	4	0.0031696	0.428	1	1	0	0	0	0	12	27	3	14
LRTM2	LRTM2	ENSG00000166159	12	0.87153	0.428	0	0	0	0	3	1	8	4	5	2
ANKRD13D	ANKRD13D	ENSG00000172932	11	0.34912	0.428	0	0	0	0	1	5	1	2	5	2
NSG2	NSG2	ENSG00000170091	5	0.88363	0.428	0	0	0	0	0	1	2	2	2	5
SIX4	SIX4	ENSG00000100625	14	0.69464	0.428	0	0	0	0	1	0	2	14	4	11
PRDM8	PRDM8	ENSG00000152784	4	0.77626	0.428	2	2	0	0	0	0	9	10	5	4
